                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4162,                0.21097,                 0.0722,                0.81008,                 1.1375,                0.88812,                0.88207,                0.89589,                0.42341,                0.94429,                0.94177,                0.98022,                0.95091,                  1.709,                0.18797,                0.00598,                 1.0363,                 1.4598,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.4635,                0.19134,                0.08083,                0.85624,                 1.2083,                0.76807,                0.85185,                0.86539,                0.45649,                0.85241,                0.94444,                0.96589,                0.94087,                  1.699,                0.18204,                0.00815,                 0.8998,                 1.4282,               0.001571,               0.001571,               0.001571
                     68,                 1.4601,                0.18692,                0.06694,                0.84394,                 1.1591,                0.77985,                0.83333,                0.86735,                0.43388,                0.85908,                0.92593,                0.94796,                0.90829,                 1.8517,                0.21191,                0.01688,                0.99042,                 1.4901,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.4152,                0.18077,                0.12378,                0.84706,                 1.1854,                0.95738,                0.83194,                0.91551,                0.43453,                0.99366,                0.87037,                0.97543,                0.94282,                 1.8111,                0.19487,                0.01414,                0.92356,                  1.507,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.3807,                0.17204,                0.07319,                0.83097,                 1.1475,                 0.8571,                0.88889,                0.87922,                0.41076,                0.91016,                0.93813,                0.96716,                0.94897,                 1.8732,                0.17837,                0.00957,                0.95215,                 1.4858,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.4021,                0.18823,                0.09142,                 0.7995,                 1.1542,                 0.8856,                0.83333,                0.89106,                0.42049,                0.92525,                0.91698,                0.97399,                0.95462,                 1.7836,                0.17471,                0.00707,                0.95576,                 1.4225,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.3347,                0.17709,                0.11064,                0.80366,                 1.0941,                0.81799,                 0.7963,                0.84768,                0.39988,                 0.8877,                0.87037,                0.92677,                0.90551,                 1.8447,                0.15928,                0.00935,                0.98427,                 1.4946,               0.001538,               0.001538,               0.001538
                     73,                 1.4709,                0.19511,                0.09647,                0.83281,                 1.1637,                0.84104,                0.83333,                0.85195,                0.39539,                 0.9167,                0.90741,                 0.9468,                0.92604,                 1.8692,                0.15374,                0.00856,                0.94264,                 1.5045,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.4312,                0.18407,                0.07938,                 0.7977,                 1.1483,                0.82717,                0.88635,                0.90869,                0.44203,                0.87895,                0.94127,                0.96381,                0.94278,                 1.7049,                0.15879,                0.00921,                0.92297,                 1.4229,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.4116,                0.16019,                 0.1034,                0.83321,                 1.1323,                 0.8864,                0.86706,                0.88424,                0.47171,                0.96211,                0.94041,                0.96553,                0.94393,                 1.5772,                0.15729,                0.00668,                0.87033,                 1.3389,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.3131,                0.17301,                0.06135,                0.79093,                 1.1174,                0.89758,                0.85185,                0.88277,                0.44104,                0.95612,                0.90741,                0.96242,                0.93676,                 1.6785,                0.16612,                 0.0058,                0.88924,                 1.4059,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.4473,                0.17148,                0.08344,                0.80168,                 1.1476,                 0.8421,                0.88889,                0.89144,                0.46059,                0.88175,                0.92593,                0.94504,                0.92553,                 1.5304,                0.15878,                0.00616,                0.86967,                 1.3329,               0.001505,               0.001505,               0.001505
                     78,                 1.5254,                0.17332,                  0.105,                 0.8326,                 1.1834,                0.82868,                0.80624,                 0.8362,                 0.3641,                0.92379,                0.85185,                 0.9133,                0.88966,                 1.8185,                0.15898,                0.01544,                 1.0463,                 1.4685,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.3867,                0.16307,                0.12409,                0.78902,                 1.1175,                0.85278,                0.81481,                0.84714,                0.40829,                0.90413,                0.87331,                0.93785,                0.91118,                 1.7549,                0.16297,                0.01246,                0.97072,                 1.3418,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.3951,                0.14199,                0.05454,                0.84166,                 1.1143,                0.80286,                0.82964,                0.87709,                0.40099,                0.89096,                0.87037,                0.95338,                0.92439,                 1.6901,                0.19967,                0.01095,                 1.0588,                  1.277,              0.0014852,              0.0014852,              0.0014852
                     81,                  1.424,                0.13538,                0.08542,                 0.8241,                 1.1332,                0.81266,                0.87037,                0.90377,                0.46872,                0.83299,                0.90741,                0.93419,                0.91316,                 1.5571,                0.18228,                0.00928,                0.89881,                 1.2328,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.4241,                0.15798,                0.13941,                0.84749,                 1.1175,                0.83311,                0.83333,                0.92555,                0.47204,                0.88554,                0.88889,                0.95451,                0.93548,                 1.6748,                0.17356,                0.01025,                0.91934,                 1.2764,               0.001472,               0.001472,               0.001472
                     83,                 1.3711,                0.16502,                0.09944,                0.82601,                 1.1281,                0.88056,                0.83333,                 0.9334,                0.48502,                0.93675,                0.88889,                 0.9675,                 0.9501,                 1.6219,                0.15737,                0.01107,                0.88188,                 1.2873,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.4009,                0.16088,                0.09155,                0.84046,                 1.1693,                0.89807,                0.81581,                0.89079,                0.45438,                0.97993,                0.90412,                0.96032,                0.93008,                 1.6496,                0.19021,                 0.0135,                0.82024,                 1.3011,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.2947,                0.15196,                0.08322,                0.74815,                 1.0994,                0.86439,                0.83333,                0.89022,                0.43611,                0.94123,                0.90741,                0.93248,                0.91068,                 1.7526,                0.16037,                0.01951,                0.95077,                 1.3594,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.4285,                0.16392,                0.09745,                 0.7886,                 1.1415,                0.89317,                0.85185,                0.89846,                0.45425,                0.95142,                0.90741,                0.96685,                 0.9476,                 1.7936,                0.15231,                0.01423,                 0.9059,                 1.3836,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.3959,                0.15032,                0.07902,                0.81109,                 1.1416,                0.94858,                0.83333,                0.91121,                0.44722,                0.99098,                0.87037,                0.96783,                0.94331,                 1.7367,                0.16657,                0.01493,                0.83573,                 1.3872,               0.001439,               0.001439,               0.001439
                     88,                 1.4675,                 0.1898,                0.10739,                0.85523,                 1.1896,                  0.886,                0.86364,                 0.8979,                0.41122,                0.94305,                0.92012,                0.97114,                0.94474,                 1.8397,                0.16722,                0.01147,                0.90402,                 1.4462,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.3777,                 0.1544,                 0.1003,                0.80828,                 1.1334,                0.83465,                0.81481,                0.85129,                0.38161,                0.92003,                0.90741,                0.96793,                0.94175,                 1.9347,                0.15279,                0.01166,                0.94681,                  1.507,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.3536,                  0.159,                0.09037,                0.81533,                 1.1205,                 0.9692,                0.77778,                0.91547,                0.43136,                0.91376,                0.87037,                0.94219,                0.92851,                 1.8063,                0.15114,                0.01656,                0.93438,                 1.4525,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.3559,                0.16269,                0.09947,                0.77761,                 1.1465,                0.91436,                 0.7037,                0.86729,                0.41618,                0.95908,                0.74074,                0.90356,                0.88523,                 2.0038,                0.16658,                0.02346,                 1.2057,                 1.5751,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.3333,                0.15277,                0.08509,                0.77354,                  1.123,                0.91791,                0.82836,                0.92576,                0.41926,                 0.9409,                 0.8846,                0.95169,                0.93514,                 2.0273,                0.12743,                0.01016,                0.95846,                 1.5122,               0.001406,               0.001406,               0.001406
                     93,                 1.3075,                 0.1477,                0.08542,                0.76973,                 1.1214,                0.93471,                0.81481,                0.89079,                 0.4065,                0.97243,                0.87037,                0.95933,                0.94757,                 1.9559,                0.13515,                0.00821,                0.95784,                 1.5288,              0.0013994,              0.0013994,              0.0013994
                     94,                  1.364,                0.17884,                0.08915,                0.74352,                 1.1279,                0.85869,                0.90033,                0.93886,                0.47149,                0.92326,                0.89122,                0.96398,                0.94548,                 1.6854,                0.13935,                0.00605,                0.85772,                 1.3564,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.3413,                0.15151,                0.09709,                0.76168,                 1.1075,                0.94851,                0.85185,                0.95472,                 0.4656,                0.97361,                0.88889,                 0.9753,                0.95747,                  1.744,                0.14291,                0.00576,                0.84506,                 1.3434,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.3489,                0.13999,                0.13258,                 0.7706,                 1.1256,                0.92146,                0.86911,                0.92849,                0.45147,                0.96071,                 0.9057,                0.96907,                0.95134,                 1.8111,                0.13484,                0.00807,                0.83883,                 1.4387,              0.0013796,              0.0013796,              0.0013796
